time,symbol,side,long,short,confidence,price
2026-08-26T00:52:10.921917+00:00,SOL,WAIT,45,18,45,15378.0
2026-08-26T00:58:15.102701+00:00,BTC,WAIT,14,26,26,12488278.0
2026-08-26T00:58:15.102719+00:00,ETH,WAIT,14,43,43,388416.0
2026-08-26T00:58:15.102725+00:00,XRP,WAIT,14,56,56,227.502
2026-08-26T00:58:15.102731+00:00,SOL,WAIT,45,18,45,15378.0
2026-08-26T01:04:35.323878+00:00,BTC,WAIT,45,10,45,12525114.0
2026-08-26T01:04:35.323895+00:00,ETH,WAIT,28,10,28,389805.0
2026-08-26T01:04:35.323900+00:00,XRP,WAIT,28,44,44,228.4
2026-08-26T01:04:35.323905+00:00,SOL,WAIT,28,16,28,15426.0
2026-08-26T01:10:47.981301+00:00,BTC,WAIT,45,10,45,12525114.0
2026-08-26T01:10:47.981318+00:00,ETH,WAIT,28,10,28,389805.0
2026-08-26T01:10:47.981324+00:00,XRP,WAIT,28,44,44,228.4
